team,count
MASSIVEimpact,180
Brutality,179
PLINK,178
Conquer,175
Windigo Academy,175
Magistra,175
NSPR,175
NOREG,174
VG.Flash,170
LGR,170
Lazarus,170
iNETKOXTV,170
Ascent,170
Rap Gang,170
Wisla Krakow,170
Universe,170
GX,170
Hysteria,165
Secret fe,165
WySix,165
FMESPORTS,165
Conquest,165
gBots,165
Fierce,165
eL'quvet,165
SEAL,165
Evolution,165
Flow,164
RuSh3D,163
Revolution,160
Adaptation,160
Iceberg,160
Demise,160
Property,160
LFAO,160
24BHB,159
ACG,158
ownage,155
fightclub,155
ARES,155
Formidable,155
CheckSix,155
Dark Tigers,155
AGF,155
Riotous Raccoons,155
Forcebuy,155
LOG,155
Rogue Academy,155
Noxide,154
Sensei,154
Damage Control,154
Hard Legion,154
2ez,150
TTFU,150
Innova,150
dreamchasers,150
Goliath,150
INTZ.Academy,150
Infused,150
LDLC Blue,150
Limitless,150
VwS,150
rewound,149
OPAA,149
Vikings,149
LDLC White,149
The Pioneers,149
Na`Vi Junior,149
Cypher,148
No Problem!,148
devils.one,145
Rise and Grind,145
Rejected,145
ex-Fragsters,145
rTE,145
EMC,145
ex-Space Soldiers,145
Aster,145
OnlineBOTS,145
Odense,145
Excelerate,145
SetToDestroyX,145
Exile5,144
GUNRUNNERS,143
Russia,140
Oceanus,140
Gorilla Core,140
Great Danes,140
ProGaming,140
KOVA,140
Wings,140
KILLERFISH,140
KoN Iceland,140
ANOX,140
Coscu Army,140
EXTREMUM,139
eXplosive,139
Threats,135
9z,135
nerdRage,135
Carnage,135
1337,135
Test Takers,135
Variance,135
cantwinalan,135
CeX,135
2KILL,135
Just Swing,135
Hafnet,135
Ignite,135
YETTI,134
LowLandLions,134
Ukraine,134
K29,134
FriendlyFire,130
Big 5,130
Orange,130
District 7,130
Eclipse.o,130
Enigma6,130
New England Whalers,130
London,130
All Knights,130
Revolte,130
Polar Ace,130
CHAOS,130
fish123,130
HG,130
onestop,129
Chosen5,129
dizLown,125
Mazaalai,125
5FRAGS,125
